div_size,avg_time
3,0.6000
5,0.3000
7,0.6000
9,0.6000
11,0.4000
13,0.6000
15,0.4000
17,0.7000
19,0.7000
21,0.7000
23,0.2000
25,0.3000
27,1.0000
29,1.8000
31,2.3000
33,0.7000
35,5.0000
37,1.2000
39,1.3000
41,1.7000
43,1.3000
45,1.1000
47,1.4000
49,1.5000
51,1.5000
53,1.2000
55,2.0000
57,1.2000
59,1.7000
61,1.7000
63,1.7000
65,1.8000
67,1.7000
69,1.7000
71,6.7000
73,2.3000
75,2.8000
77,2.6000
79,2.5000
81,2.6000
83,2.0000
85,1.8000
87,2.1000
89,2.6000
91,2.3000
93,2.1000
95,2.8000
97,2.3000
99,2.8000
101,2.8000
103,2.4000
105,2.3000
107,3.0000
109,4.1000
111,4.1000
113,5.3000
115,4.5000
117,6.7000
119,4.3000
121,3.1000
123,4.2000
125,7.4000
127,5.1000
129,4.6000
131,5.8000
133,4.9000
135,4.5000
137,3.7000
139,3.2000
141,2.9000
143,3.4000
145,3.8000
147,2.7000
149,3.3000
151,2.7000
153,2.7000
155,2.2000
157,2.9000
159,3.0000
161,3.3000
163,2.9000
165,3.0000
167,3.1000
169,3.2000
171,3.0000
173,3.8000
175,3.8000
177,3.0000
179,3.1000
181,3.3000
183,3.5000
185,3.4000
187,3.1000
189,3.3000
191,3.3000
193,3.5000
195,3.5000
197,3.7000
199,4.7000
201,4.1000
203,3.9000
205,4.5000
207,4.4000
209,5.0000
211,4.2000
213,5.1000
215,4.5000
217,5.7000
219,4.6000
221,4.9000
223,4.8000
225,3.8000
227,4.7000
229,5.0000
231,4.8000
233,4.7000
235,5.1000
237,4.7000
239,5.0000
241,4.6000
243,4.6000
245,5.0000
247,4.4000
249,4.3000
251,4.5000
253,4.1000
255,4.4000
257,4.7000
259,5.1000
261,5.3000
263,5.7000
265,6.5000
267,6.7000
269,10.8000
271,7.7000
273,13.8000
275,6.9000
277,8.8000
279,9.4000
281,12.4000
283,9.1000
285,7.3000
287,6.6000
289,6.4000
291,5.4000
293,5.4000
295,5.5000
297,6.3000
299,9.0000
301,6.5000
303,8.1000
305,6.6000
307,5.9000
309,6.6000
311,8.9000
313,12.7000
315,9.9000
317,17.1000
319,8.6000
321,8.9000
323,7.8000
325,7.0000
327,6.8000
329,6.4000
331,6.6000
333,6.7000
335,6.4000
337,6.1000
339,6.2000
341,5.7000
343,7.6000
345,9.1000
347,6.6000
349,6.0000
351,5.9000
353,6.2000
355,6.4000
357,6.1000
359,6.7000
361,7.2000
363,5.8000
365,6.4000
367,6.2000
369,6.2000
371,6.5000
373,6.3000
375,6.1000
377,6.1000
379,6.3000
381,6.5000
383,6.7000
385,6.8000
387,6.9000
389,7.1000
391,5.9000
393,6.5000
395,6.7000
397,6.2000
399,6.5000
401,7.1000
403,6.9000
405,7.0000
407,7.3000
409,6.7000
411,7.1000
413,7.3000
415,7.0000
417,6.6000
419,7.1000
421,6.9000
423,7.3000
425,7.2000
427,7.0000
429,8.2000
431,7.4000
433,7.3000
435,7.9000
437,7.6000
439,8.6000
441,7.9000
443,8.0000
445,7.4000
447,7.7000
449,7.8000
451,7.6000
453,8.2000
455,7.8000
457,7.7000
459,7.8000
461,8.0000
463,7.7000
465,8.5000
467,8.2000
469,8.1000
471,8.8000
473,9.5000
475,8.2000
477,8.7000
479,9.6000
481,8.5000
483,8.4000
485,10.0000
487,8.7000
489,8.8000
491,8.4000
493,9.0000
495,8.7000
497,8.1000
499,9.0000
501,8.5000
503,10.5000
505,9.4000
507,8.5000
509,9.0000
511,9.9000
513,9.1000
515,9.4000
517,9.0000
519,10.5000
521,10.2000
523,8.7000
525,8.8000
527,9.0000
529,10.1000
531,10.0000
533,9.3000
535,8.9000
537,9.2000
539,9.1000
541,10.2000
543,9.2000
545,8.9000
547,8.8000
549,9.4000
551,9.8000
553,9.3000
555,9.8000
557,8.9000
559,9.4000
561,9.5000
563,9.7000
565,9.6000
567,9.4000
569,9.2000
571,9.8000
573,9.7000
575,9.7000
577,9.3000
579,9.0000
581,10.1000
583,9.7000
585,10.2000
587,9.9000
589,10.0000
591,9.9000
593,10.1000
595,10.1000
597,9.4000
599,9.7000
601,10.2000
603,9.6000
605,10.0000
607,10.3000
609,9.8000
611,10.5000
613,11.8000
615,10.5000
617,10.5000
619,11.0000
621,11.3000
623,10.9000
625,14.2000
627,12.6000
629,10.4000
631,11.0000
633,10.6000
635,10.5000
637,11.3000
639,10.0000
641,10.3000
643,10.9000
645,11.1000
647,10.8000
649,10.6000
651,11.1000
653,11.2000
655,11.2000
657,10.7000
659,10.7000
661,11.1000
663,11.4000
665,10.8000
667,11.7000
669,11.0000
671,12.1000
673,11.3000
675,11.1000
677,16.7000
679,13.5000
681,12.9000
683,10.9000
685,11.9000
687,11.1000
689,11.3000
691,10.9000
693,11.7000
695,11.9000
697,12.2000
699,11.4000
701,11.3000
703,11.6000
705,12.1000
707,11.6000
709,11.8000
711,12.4000
713,12.4000
715,12.5000
717,12.0000
719,12.2000
721,12.2000
723,11.9000
725,12.0000
727,11.7000
729,12.2000
731,12.7000
733,12.1000
735,12.7000
737,12.4000
739,12.0000
741,12.0000
743,11.7000
745,12.2000
747,12.4000
749,12.0000
751,12.0000
753,12.0000
755,12.7000
757,12.5000
759,12.0000
761,13.2000
763,12.8000
765,12.3000
767,12.5000
769,12.4000
771,12.0000
773,13.6000
775,12.8000
777,12.3000
779,12.7000
781,12.7000
783,12.8000
785,12.6000
787,12.9000
789,13.3000
791,12.9000
793,12.9000
795,12.6000
797,12.7000
799,12.7000
801,12.6000
803,13.0000
805,13.1000
807,13.5000
809,13.1000
811,13.0000
813,13.1000
815,13.2000
817,12.9000
819,13.2000
821,14.0000
823,13.6000
825,15.0000
827,18.8000
829,15.7000
831,15.8000
833,18.6000
835,18.8000
837,15.9000
839,27.4000
841,16.6000
843,14.7000
845,14.5000
847,15.7000
849,15.0000
851,13.8000
853,14.0000
855,14.3000
857,15.3000
859,13.9000
861,14.5000
863,17.1000
865,16.2000
867,17.3000
869,15.3000
871,19.6000
873,22.2000
875,16.7000
877,17.8000
879,14.6000
881,14.8000
883,14.9000
885,14.8000
887,14.2000
889,16.3000
891,18.4000
893,18.0000
895,14.8000
897,14.6000
899,21.6000
901,16.9000
903,15.8000
905,16.9000
907,17.1000
909,29.8000
911,26.9000
913,20.8000
915,17.9000
917,16.7000
919,24.7000
921,16.7000
923,15.1000
925,16.8000
927,15.2000
929,19.2000
931,30.2000
