arr_size,avg_partition_size
100,44.9000
200,95.0000
300,143.7000
400,190.7000
500,241.3000
600,289.9000
700,324.9000
800,340.1000
900,413.2000
1000,470.2000
1100,507.7000
1200,559.1000
1300,642.8000
1400,690.0000
1500,734.2000
1600,793.5000
1700,817.0000
1800,880.0000
1900,903.1000
2000,973.5000
2100,999.6000
2200,1069.5000
2300,1096.3000
2400,1151.3000
2500,1208.8000
2600,1250.8000
2700,1300.8000
2800,1385.5000
2900,1421.5000
3000,1470.1000
3100,1531.4000
3200,1517.2000
3300,1248.6000
3400,1595.8000
3500,1691.4000
3600,1713.0000
3700,1782.2000
3800,1689.4000
3900,1680.4000
4000,1903.6000
4100,1948.6000
4200,2042.9000
4300,2069.3000
4400,2123.3000
4500,2177.2000
4600,2156.8000
4700,2271.1001
4800,2294.0000
4900,2366.6001
5000,2432.2000
5100,2391.1001
5200,2508.5000
5300,2523.3000
5400,2584.8999
5500,2585.5000
5600,2690.0000
5700,2709.7000
5800,2812.8000
5900,2906.7000
6000,2875.5000
6100,2987.3999
6200,3022.8999
6300,3135.8999
6400,3116.6001
6500,3206.5000
6600,3255.3999
6700,3337.8000
6800,3406.8000
6900,3375.6001
7000,3392.5000
7100,3458.5000
7200,3565.7000
7300,3514.5000
7400,3640.5000
7500,3651.7000
7600,3741.2000
7700,3756.8000
7800,3857.8000
7900,3882.5000
8000,3925.2000
8100,4034.1001
8200,4029.0000
8300,4038.2000
8400,4162.2002
8500,4184.6001
8600,4211.7998
8700,4254.5000
8800,4310.7002
8900,4401.1001
9000,4449.2998
9100,4484.7998
9200,4569.3999
9300,4560.6001
9400,4568.7998
9500,4671.6001
9600,4638.0000
9700,4670.7998
9800,4760.6001
9900,4801.0000
10000,4831.8999
10100,4891.6001
10200,5009.3999
10300,5002.2002
10400,5019.7002
10500,5105.2998
10600,5154.0000
10700,5199.3999
10800,5286.5000
10900,5353.8999
11000,5413.7002
11100,5354.2002
11200,5541.0000
11300,5453.2002
11400,5594.3999
11500,5584.6001
11600,5593.2998
11700,5730.5000
11800,5742.5000
11900,5824.7002
12000,5833.5000
12100,5924.3999
12200,5976.0000
12300,6013.7002
12400,6013.1001
12500,6123.7002
12600,6266.7998
12700,6236.7002
12800,6354.0000
12900,6409.6001
13000,6341.2998
13100,6399.7998
13200,6465.1001
